Type,Registration,CompNumber,Handicap
DG 300 Club retr,,4X,95
Discus 2cT 18m,,KPG,106
HpH 304 ES Shark,,B2,109
Ventus 2cxT 18m,,V9,110
ASG 29 18m,,700,111
ASW 27b,,MB,104
ASW 27b,,909,104
LS 6c 18m,,LJ,107
LS 8 18m,,K8,106
HpH 304 Shark,,28,110
LS 8e 18m,,J1,106
ASW 27b,,841,104
ASG 29 Es 18m,,KM,111
ASG 29 E 18m,,644,111
Ventus 3ST 18m,,XA,111.5
LS 8 18m,,OK,106
Ventus 2cxT 18m,,JR,110
LS 7,,LS7,97
Ventus 2c 18m,,HA,109.5
Vega T65D,,EDY,97
ASG 29 15m,,W8,104
DG 300,,KOR,96
Duo Discus,,871,101
HpH 304 ES Shark,,SF,109
ASH 25 E,,M25,114
LS 6 18m,,521,107
Ventus 2cT 18m,,V11,109.5
